id,tc,pretty_formula
mp-1006613,19.163315,Na2Al2(SiO4)3
mp-1006878,44.13669,BaO2
mp-1009009,17.13245,LiF
mp-10103,16.229116,LiYbAlF6
mp-1016119,15.29215,NaMnO2
mp-1016821,20.53115,BaSiO3
mp-1016850,33.197212,BaRhO3
mp-1016852,29.624325,BaMnO3
mp-1017465,16.629845,BaVO3
mp-1017555,19.64574,CsBeF3
mp-1017626,17.200027,LiCaF3
mp-1018700,24.359447,EuO2
mp-1018789,28.677048,LiO2
mp-1021328,25.605602,H4C
mp-1023127,29.799856,Ba4Cu3PbO9
mp-10250,20.619072,BaLiF3
mp-1025237,39.14558,Ba2RuO4
mp-1025265,17.337835,Cs2CuF4
mp-1025338,24.044043,Tl2CuF4
mp-1025456,15.940839,CaZrF6
mp-1025460,17.805862,MgZrF6
mp-1025493,17.696815,HoClO2
mp-1025509,15.388321,ZrZnF6
mp-1029,18.448044,BaF2
mp-1030980,15.125399,RbNaMg6O7
mp-1033557,15.06949,RbMg6BO8
mp-1033624,16.800726,RbMg6BO7
mp-1033632,17.26333,RbMg6BO7
mp-1042137,28.680779,BaYCuSnO5
mp-1042151,27.175133,BaYCuSbO5
mp-1042153,27.9464,BaYCuAgO5
mp-1042162,66.51557,BaYCu2O5
mp-1042181,31.5208,BaAlCuAgO5
mp-1042186,37.953674,BaAlCu2O5
mp-1042199,17.518616,BaAlCuSnO5
mp-1042208,16.382006,BaTaCuO5
mp-1042217,31.225838,BaCuSbO5
mp-1042435,64.53651,Ba2AlCu3O8
mp-1042471,28.25848,BaYCoCuO5
mp-1042475,43.12684,BaYCrCuO5
mp-1042478,49.199905,BaAlCuNiO5
mp-1042497,17.254261,BaAlCrCuO5
mp-1042500,17.029333,BaYCuMoO5
mp-1042504,22.951794,BaAlCuMoO5
mp-1042519,28.50939,BaAlCuWO5
mp-1044042,19.554176,CaSn3O7
mp-1044976,24.090778,BaAlCuWO5
mp-1045008,21.980705,Ba2AlW3O7
mp-1045459,16.88571,Ba2CaCu3F14
mp-1045463,15.480018,Ba2MgCu3F14
mp-1045620,16.929668,Ba2ZnCu3F14
mp-1045817,17.385275,Ba2CuMo2F14
mp-1045850,21.93909,Ba2CaMn2CuF14
mp-1045867,18.781815,Ba2Mn2ZnCuF14
mp-1045910,18.795567,Ba2MgMn2CuF14
mp-1045996,33.56427,Ba2TlSb2O7
mp-1046001,48.459908,Ba2AlTlCu2O7
mp-1046030,18.312233,Ba2Ti2TlO7
mp-1046035,24.847404,Sr2AlTlV2O7
mp-1046038,23.99498,Sr2YTlV2O7
mp-1046053,30.56235,Ba2TlSn2O7
mp-1046056,41.52417,Ba2TlBi2O7
mp-1046109,29.402967,Ba2Ca2Ti3Tl2O10
mp-1046126,55.40548,Ba2Mg2Tl2Cu3O10
mp-1046128,56.46592,Ba2Tl2Sb3O10
mp-1046130,66.199295,Ba2Tl2Zn2Cu3O10
mp-1046139,17.389416,Ba2Mg2Ti3Tl2O10
